SupportId,DateTime,StopPlaceShortName,TransactionType,ProfileName,EquipmentModel,ValidationStatus,ValidationTicket
CARD_1d84985319,2026-01-17 05:30:55.393,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_7d93e052da,2026-01-17 05:30:58.283,Durán,ENTRY,Personas con Movilidad Reducida,GATE,OK,RETURN_CODE_OK
CARD_17841349ee,2026-01-17 05:31:13.024,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_0978740989,2026-01-17 05:31:26.170,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_12908f216d,2026-01-17 05:31:31.754,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_b7c4ff80ab,2026-01-17 05:31:33.802,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_f2f933e229,2026-01-17 05:31:36.315,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_b6608c1a80,2026-01-17 05:32:20.618,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_af94dc4401,2026-01-17 05:32:32.408,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_b62778f676,2026-01-17 05:32:34.761,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_6e7effe58e,2026-01-17 05:32:43.774,Parque Centenario,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_ac8b663a03,2026-01-17 05:33:00.701,Parque Centenario,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_fbc7eeb09c,2026-01-17 05:33:07.548,Parque Centenario,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_449ad8d717,2026-01-17 05:33:22.157,Parque Centenario,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_1fc2525da1,2026-01-17 05:33:31.326,Parque Centenario,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_cbacd96d70,2026-01-17 05:33:45.830,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_47d9c65350,2026-01-17 05:34:45.688,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_698b13e8ac,2026-01-17 05:36:59.783,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_841cdb3a87,2026-01-17 05:37:04.302,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_2eb4f2e949,2026-01-17 05:37:04.524,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_ee56304430,2026-01-17 05:37:45.984,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_49301bb03c,2026-01-17 05:38:07.369,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_a9884bb250,2026-01-17 05:38:08.256,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_ea52208255,2026-01-17 05:38:57.864,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_7d93e052da,2026-01-17 05:40:29.930,4 Mosqueteros,EXIT,Personas con Movilidad Reducida,GATE,OK,RETURN_CODE_OK
CARD_e27954ff5e,2026-01-17 05:41:00.892,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_f943719f6d,2026-01-17 05:41:01.929,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_4a4cf8929c,2026-01-17 05:41:46.793,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_0dcc716284,2026-01-17 05:42:10.198,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_99a81dce01,2026-01-17 05:42:10.268,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_36467d66b7,2026-01-17 05:42:16.643,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_8df0a96ba9,2026-01-17 05:42:41.941,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_8264b816d0,2026-01-17 05:43:06.538,Parque Centenario,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_c9f9848d3a,2026-01-17 05:43:38.065,4 Mosqueteros,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_8216ed11de,2026-01-17 05:46:01.360,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_6d5ddebebb,2026-01-17 05:46:06.685,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_b31c3487eb,2026-01-17 05:46:13.580,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_ee56304430,2026-01-17 05:47:43.425,4 Mosqueteros,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_f278e3a013,2026-01-17 05:47:58.485,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_1d84985319,2026-01-17 05:48:08.876,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_17841349ee,2026-01-17 05:48:37.725,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_ea52208255,2026-01-17 05:48:42.519,4 Mosqueteros,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_0978740989,2026-01-17 05:49:02.000,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_12908f216d,2026-01-17 05:49:03.746,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_f2f933e229,2026-01-17 05:49:19.564,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_b7c4ff80ab,2026-01-17 05:49:20.153,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_af94dc4401,2026-01-17 05:50:02.039,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_6e7effe58e,2026-01-17 05:50:03.019,Durán,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_903ac2150d,2026-01-17 05:50:05.506,4 Mosqueteros,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_de2b0c050c,2026-01-17 05:50:17.321,Parque Centenario,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_b62778f676,2026-01-17 05:50:20.802,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_b6608c1a80,2026-01-17 05:50:23.295,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_449ad8d717,2026-01-17 05:50:25.903,Durán,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_ac8b663a03,2026-01-17 05:50:26.610,Durán,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_1fc2525da1,2026-01-17 05:50:42.927,Durán,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_fbc7eeb09c,2026-01-17 05:50:43.165,Durán,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_e8d74c0254,2026-01-17 05:50:57.600,Durán,CORRESPONDENCE_ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_cbacd96d70,2026-01-17 05:51:08.943,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_c3eab38550,2026-01-17 05:52:00.820,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_47d9c65350,2026-01-17 05:52:05.465,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_1fe797352b,2026-01-17 05:52:14.444,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_0dcc716284,2026-01-17 05:52:42.599,4 Mosqueteros,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_36467d66b7,2026-01-17 05:52:43.981,4 Mosqueteros,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_99a81dce01,2026-01-17 05:52:47.261,4 Mosqueteros,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_c9f9848d3a,2026-01-17 05:52:53.177,Durán,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_737e03acff,2026-01-17 05:53:25.686,Parque Centenario,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_739ecb8730,2026-01-17 05:53:34.874,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_e3e25f9da2,2026-01-17 05:53:39.405,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_dd9e25073d,2026-01-17 05:54:09.564,Parque Centenario,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_0a4e67be62,2026-01-17 05:54:09.919,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_841cdb3a87,2026-01-17 05:54:12.620,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_82f524684d,2026-01-17 05:54:32.492,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_698b13e8ac,2026-01-17 05:54:35.869,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_2eb4f2e949,2026-01-17 05:54:36.911,Parque Centenario,EXIT,Estandar,GATE,OK,RETURN_CODE_OK
CARD_a4ac1c1b0e,2026-01-17 05:54:40.042,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_bb0a511f54,2026-01-17 05:54:40.820,Parque Centenario,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_b6a90d7e5b,2026-01-17 05:54:43.066,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_f9f6dd7593,2026-01-17 05:54:55.039,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_fe75a2014e,2026-01-17 05:54:57.599,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
CARD_71858ad1e5,2026-01-17 05:55:06.381,Durán,ENTRY,Estandar,GATE,OK,RETURN_CODE_OK
