SupportId,DateTime,StopPlaceShortName,TransactionType,ProfileName,EquipmentModel
CARD_001248ea31,2026-01-20 12:36:21.475,Durán,ENTRY,Estandar,GATE
CARD_001248ea31,2026-01-20 12:48:26.113,4 Mosqueteros,EXIT,Estandar,GATE
CARD_001248ea31,2026-01-20 15:21:44.095,4 Mosqueteros,ENTRY,Estandar,GATE
CARD_001248ea31,2026-01-20 15:32:59.530,Durán,EXIT,Estandar,GATE
CARD_001c7fdfc4,2026-01-20 13:27:12.919,Durán,ENTRY,Estandar,GATE
CARD_001c7fdfc4,2026-01-20 13:39:35.217,4 Mosqueteros,EXIT,Estandar,GATE
CARD_001c7fdfc4,2026-01-20 20:03:34.834,4 Mosqueteros,ENTRY,Estandar,GATE
CARD_001c7fdfc4,2026-01-20 20:15:20.439,Durán,EXIT,Estandar,GATE
CARD_00248b5a44,2026-01-20 09:37:50.156,Durán,ENTRY,Preferencial,GATE
CARD_00248b5a44,2026-01-20 09:59:22.648,Parque Centenario,EXIT,Preferencial,GATE
CARD_00248b5a44,2026-01-20 12:49:47.793,Parque Centenario,ENTRY,Preferencial,GATE
CARD_00248b5a44,2026-01-20 13:08:26.636,Durán,EXIT,Preferencial,GATE
CARD_0024dba78b,2026-01-20 08:01:42.066,Durán,ENTRY,Estandar,GATE
CARD_0024dba78b,2026-01-20 08:19:03.310,Parque Centenario,EXIT,Estandar,GATE
CARD_004df68031,2026-01-20 14:29:45.045,4 Mosqueteros,ENTRY,Estandar,GATE
CARD_004df68031,2026-01-20 14:40:20.313,Durán,EXIT,Estandar,GATE
CARD_004f7d55c6,2026-01-20 08:42:10.918,Durán,ENTRY,Estandar,GATE
CARD_004f7d55c6,2026-01-20 09:00:18.953,Parque Centenario,EXIT,Estandar,GATE
CARD_004f7d55c6,2026-01-20 11:36:54.580,Parque Centenario,ENTRY,Estandar,GATE
CARD_004f7d55c6,2026-01-20 11:58:01.693,Durán,EXIT,Estandar,GATE
CARD_0054b48c9d,2026-01-20 12:39:04.019,Durán,ENTRY,Estandar,GATE
CARD_0054b48c9d,2026-01-20 12:51:06.067,4 Mosqueteros,EXIT,Estandar,GATE
CARD_0054b48c9d,2026-01-20 16:54:21.736,4 Mosqueteros,ENTRY,Estandar,GATE
CARD_0054b48c9d,2026-01-20 17:08:29.643,Durán,EXIT,Estandar,GATE
CARD_00561ac865,2026-01-20 09:28:40.792,Durán,ENTRY,Estandar,GATE
CARD_00561ac865,2026-01-20 09:41:20.151,4 Mosqueteros,EXIT,Estandar,GATE
CARD_00561ac865,2026-01-20 19:19:44.111,Parque Centenario,ENTRY,Estandar,GATE
CARD_00561ac865,2026-01-20 19:35:41.613,4 Mosqueteros,EXIT,Estandar,GATE
CARD_005c3dc5a5,2026-01-20 07:26:15.971,4 Mosqueteros,ENTRY,Estandar,GATE
CARD_005c3dc5a5,2026-01-20 07:35:54.021,Durán,EXIT,Estandar,GATE
CARD_00636530ef,2026-01-20 19:12:22.599,4 Mosqueteros,ENTRY,Preferencial,GATE
CARD_00636530ef,2026-01-20 19:29:03.891,Durán,EXIT,Preferencial,GATE
CARD_00636530ef,2026-01-20 19:34:40.133,Durán,ENTRY,Preferencial,GATE
CARD_00636530ef,2026-01-20 19:50:05.087,4 Mosqueteros,EXIT,Preferencial,GATE
CARD_00700801a5,2026-01-20 15:50:34.694,Durán,ENTRY,Estandar,GATE
CARD_00700801a5,2026-01-20 16:12:56.490,Parque Centenario,EXIT,Estandar,GATE
CARD_00700801a5,2026-01-20 18:16:13.963,Parque Centenario,ENTRY,Estandar,GATE
CARD_00700801a5,2026-01-20 18:37:51.096,Durán,EXIT,Estandar,GATE
CARD_0071c00c94,2026-01-20 09:13:06.770,Durán,ENTRY,Estandar,GATE
CARD_0071c00c94,2026-01-20 09:30:36.976,Julián Coronel,EXIT,Estandar,GATE
CARD_00757debf1,2026-01-20 06:50:12.856,Durán,ENTRY,Estandar,GATE
CARD_00757debf1,2026-01-20 07:07:51.155,Parque Centenario,EXIT,Estandar,GATE
CARD_007a40e5e8,2026-01-20 09:25:07.843,Parque Centenario,ENTRY,Estandar,GATE
CARD_007a40e5e8,2026-01-20 09:46:32.720,Durán,EXIT,Estandar,GATE
CARD_007a40e5e8,2026-01-20 19:18:26.666,Durán,ENTRY,Estandar,GATE
